BatchKeyPath,BatchValueName,ProgramName,RunCounter,FocusCount,FocusTime,LastExecuted
CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.Jvaqbjf.TrggvatFgnegrq,Microsoft.Windows.GettingStarted,14,21,"0d, 0h, 07m, 00s",2025-02-07 11:20:32.8894541
CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,HRZR_PGYFRFFVBA,UEME_CTLSESSION,55,110,"0d, 0h, 34m, 21s",
CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{1NP14R77-02R7-4R5Q-O744-2RO1NR5198O7}\JvaqbjfNalgvzrHctenqrHV.rkr,{System}\WindowsAnytimeUpgradeUI.exe,13,19,"0d, 0h, 06m, 20s",2025-02-07 11:20:32.8894541
CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{6Q809377-6NS0-444O-8957-N3773S02200R}\Jvaqbjf AG\Npprffbevrf\jbeqcnq.rkr,{ProgramFilesX64}\Windows NT\Accessories\wordpad.exe,12,17,"0d, 0h, 05m, 40s",2025-02-07 11:20:32.8894541
CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,HRZR_PGYPHNPbhag:pgbe,UEME_CTLCUACount:ctor,0,0,"0d, 0h, 00m, 00s",
CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{S38OS404-1Q43-42S2-9305-67QR0O28SP23}\rkcybere.rkr,{Windows}\explorer.exe,5,29,"0d, 0h, 08m, 15s",2025-02-07 12:22:04.1500000
CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.Jvaqbjf.PbagebyCnary,Microsoft.Windows.ControlPanel,0,5,"0d, 0h, 00m, 59s",
CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Q:\frghc64.rkr,D:\setup64.exe,0,3,"0d, 0h, 00m, 16s",
CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{1NP14R77-02R7-4R5Q-O744-2RO1NR5198O7}\gnfxubfg.rkr,{System}\taskhost.exe,0,0,"0d, 0h, 00m, 02s",
CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{1NP14R77-02R7-4R5Q-O744-2RO1NR5198O7}\pyrnazte.rkr,{System}\cleanmgr.exe,0,0,"0d, 0h, 00m, 38s",
CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,P:\Hfref\ivpgvz znpuvar\Qrfxgbc\Rkgreeb_SGX_Vzntre_(k64)-4.7.3.81.rkr,C:\Users\victim machine\Desktop\Exterro_FTK_Imager_(x64)-4.7.3.81.exe,1,0,"0d, 0h, 00m, 00s",2025-02-07 11:46:19.3340000
CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,P:\Hfref\ivpgvz znpuvar\NccQngn\Ybpny\Grzc\{4R0Q45OR-1O03-4P27-8SS1-879Q154Q15S3}\Rkgreeb_SGX_Vzntre_(k64)-4.7.3.81.rkr,C:\Users\victim machine\AppData\Local\Temp\{Unmapped GUID: 4E0D45BE-1B03-4C27-8FF1-879D154D15F3}\Exterro_FTK_Imager_(x64)-4.7.3.81.exe,0,0,"0d, 0h, 00m, 01s",
CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,P:\Hfref\ivpgvz znpuvar\Qrfxgbc\Zvpebfbsg-Npgvingvba-Fpevcgf-znfgre\zvpebfbsg-npgvingvba-fpevcgf\ZNF\Nyy-Va-Bar-Irefvba-XY\ZNF_NVB.pzq,C:\Users\victim machine\Desktop\Microsoft-Activation-Scripts-master\microsoft-activation-scripts\MAS\All-In-One-Version-KL\MAS_AIO.cmd,2,0,"0d, 0h, 00m, 00s",2025-02-07 11:51:45.9600000
CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{1NP14R77-02R7-4R5Q-O744-2RO1NR5198O7}\pzq.rkr,{System}\cmd.exe,2,12,"0d, 0h, 04m, 42s",2025-02-07 12:14:38.2200000
CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{1NP14R77-02R7-4R5Q-O744-2RO1NR5198O7}\zzp.rkr,{System}\mmc.exe,2,0,"0d, 0h, 00m, 00s",2025-02-07 11:57:36.9910000
CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,P:\Hfref\ivpgvz znpuvar\Qrfxgbc\NpprffQngn_SGX_Vzntre_4.7.1.rkr,C:\Users\victim machine\Desktop\AccessData_FTK_Imager_4.7.1.exe,2,0,"0d, 0h, 00m, 00s",2025-02-07 12:21:34.1010000
CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,P:\Hfref\ivpgvz znpuvar\NccQngn\Ybpny\Grzc\{P7174P84-8934-45O0-O57R-S8PP66N8R010}\NpprffQngn_SGX_Vzntre_4.7.1.rkr,C:\Users\victim machine\AppData\Local\Temp\{Unmapped GUID: C7174C84-8934-45B0-B57E-F8CC66A8E010}\AccessData_FTK_Imager_4.7.1.exe,0,0,"0d, 0h, 00m, 05s",
CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,Zvpebfbsg.Jvaqbjf.JvaqbjfVafgnyyre,Microsoft.Windows.WindowsInstaller,0,0,"0d, 0h, 00m, 00s",
CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,{6Q809377-6NS0-444O-8957-N3773S02200R}\NpprffQngn\SGX Vzntre\SGX Vzntre.rkr,{ProgramFilesX64}\AccessData\FTK Imager\FTK Imager.exe,1,1,"0d, 0h, 00m, 07s",2025-02-07 12:21:58.0190000
CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,P:\Hfref\ivpgvz znpuvar\Qrfxgbc\ZEPi120.rkr,C:\Users\victim machine\Desktop\MRCv120.exe,1,3,"0d, 0h, 00m, 09s",2025-02-07 12:20:58.5880000
CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count,P:\Hfref\ivpgvz znpuvar\NccQngn\Ybpny\Grzc\{S8O9PNP3-62N8-43PN-O52S-O41SS801618R}\NpprffQngn_SGX_Vzntre_4.7.1.rkr,C:\Users\victim machine\AppData\Local\Temp\{Unmapped GUID: F8B9CAC3-62A8-43CA-B52F-B41FF801618E}\AccessData_FTK_Imager_4.7.1.exe,0,0,"0d, 0h, 00m, 02s",
CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,{0139Q44R-6NSR-49S2-8690-3QNSPNR6SSO8}\Npprffbevrf\Jrypbzr Pragre.yax,{Common Programs}\Accessories\Welcome Center.lnk,14,0,"0d, 0h, 00m, 00s",2025-02-07 11:20:32.8894541
CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,HRZR_PGYFRFFVBA,UEME_CTLSESSION,45,0,"0d, 0h, 00m, 00s",
CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,{0139Q44R-6NSR-49S2-8690-3QNSPNR6SSO8}\Jvaqbjf Nalgvzr Hctenqr.yax,{Common Programs}\Windows Anytime Upgrade.lnk,13,0,"0d, 0h, 00m, 00s",2025-02-07 11:20:32.8894541
CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,{0139Q44R-6NSR-49S2-8690-3QNSPNR6SSO8}\Npprffbevrf\Jbeqcnq.yax,{Common Programs}\Accessories\Wordpad.lnk,12,0,"0d, 0h, 00m, 00s",2025-02-07 11:20:32.8894541
CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,HRZR_PGYPHNPbhag:pgbe,UEME_CTLCUACount:ctor,0,0,"0d, 0h, 00m, 00s",
CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,{9R3995NO-1S9P-4S13-O827-48O24O6P7174}\GnfxOne\Jvaqbjf Rkcybere (3).yax,{User Pinned}\TaskBar\Windows Explorer (3).lnk,5,0,"0d, 0h, 00m, 00s",2025-02-07 12:22:04.1500000
CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count,P:\Hfref\Choyvp\Qrfxgbc\NpprffQngn SGX Vzntre.yax,C:\Users\Public\Desktop\AccessData FTK Imager.lnk,1,0,"0d, 0h, 00m, 00s",2025-02-07 12:21:58.0190000
